         10865342 function calls (10865160 primitive calls) in 1022.365 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3225    0.014    0.000    0.025    0.000 /usr/lib/python3.6/multiprocessing/popen_fork.py:53(terminate)
     1935    0.014    0.000    0.578    0.000 /usr/lib/python3.6/threading.py:828(start)
      645    0.014    0.000    0.022    0.000 /usr/lib/python3.6/queue.py:115(put)
     2580    0.014    0.000    0.051    0.000 /usr/lib/python3.6/multiprocessing/util.py:136(register_after_fork)
      756    0.013    0.000    0.013    0.000 /scratch/yyl/noisecorre/transit_basic.py:32(incl)
     7095    0.013    0.000    0.015    0.000 /usr/lib/python3.6/email/feedparser.py:78(readline)
      645    0.013    0.000    0.043    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/fromnumeric.py:37(_wrapit)
      645    0.013    0.000    0.018    0.000 /usr/lib/python3.6/multiprocessing/pool.py:619(__init__)
     3870    0.012    0.000    0.023    0.000 /usr/lib/python3.6/http/client.py:1195(putheader)
      645    0.012    0.000    0.028    0.000 /usr/lib/python3.6/queue.py:27(__init__)
     6450    0.012    0.000    0.012    0.000 /usr/lib/python3.6/multiprocessing/process.py:83(<genexpr>)
      645    0.012    0.000    0.455    0.001 /usr/lib/python3.6/json/__init__.py:302(loads)
     1558    0.012    0.000    9.247    0.006 /usr/lib/python3.6/multiprocessing/process.py:118(join)
      645    0.012    0.000    0.055    0.000 /scratch/yyl/noisecorre/kepio.py:94(get_id)
     1290    0.012    0.000   21.689    0.017 /usr/lib/python3.6/http/client.py:956(send)
    35674    0.012    0.000    0.012    0.000 {method 'getrandbits' of '_random.Random' objects}
     3234    0.011    0.000    0.011    0.000 {method 'replace' of 'str' objects}
      645    0.011    0.000    0.011    0.000 {built-in method builtins.print}
    10030    0.011    0.000    0.022    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      645    0.011    0.000    0.309    0.000 /usr/lib/python3.6/email/parser.py:42(parse)
    32971    0.011    0.000    0.011    0.000 {method 'encode' of 'str' objects}
     1935    0.011    0.000    0.011    0.000 /usr/lib/python3.6/threading.py:727(_newname)
     3225    0.011    0.000    0.011    0.000 {built-in method posix.kill}
      645    0.011    0.000    0.027    0.000 /usr/lib/python3.6/urllib/request.py:1238(do_request_)
      756    0.011    0.000    0.027    0.000 /usr/lib/python3.6/warnings.py:119(filterwarnings)
      645    0.011    0.000  109.742    0.170 /usr/lib/python3.6/urllib/request.py:508(open)
      645    0.011    0.000    0.045    0.000 /usr/lib/python3.6/urllib/parse.py:830(urlencode)
      645    0.011    0.000    0.320    0.000 /usr/lib/python3.6/email/parser.py:60(parsestr)
     7095    0.011    0.000    0.026    0.000 /usr/lib/python3.6/email/feedparser.py:128(__next__)
     1290    0.010    0.000    0.010    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/filters.py:207(get_filters)
