         33387371 function calls (33387189 primitive calls) in 2525.396 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    40012 1697.037    0.042 1697.037    0.042 {method 'acquire' of '_thread.lock' objects}
     8000    0.053    0.000    0.151    0.000 /usr/lib/python3.6/threading.py:498(__init__)
     2000    0.052    0.000    0.121    0.000 /usr/lib/python3.6/multiprocessing/pool.py:663(__init__)
     2000    0.050    0.000    1.293    0.001 /usr/local/lib/python3.6/dist-packages/kplr/api.py:439(<listcomp>)
     2000    0.048    0.000    0.706    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/files.py:230(__init__)
     2000    0.047    0.000    0.069    0.000 /usr/lib/python3.6/multiprocessing/pool.py:619(__init__)
    35844    0.047    0.000    0.047    0.000 {built-in method builtins.getattr}
     2000    0.045    0.000    0.155    0.000 /usr/lib/python3.6/http/client.py:227(__init__)
     2005    0.045    0.000    0.101    0.000 /usr/lib/python3/dist-packages/pandas/core/frame.py:2115(__getitem__)
     8000    0.044    0.000    0.076    0.000 /usr/lib/python3.6/weakref.py:165(__setitem__)
     2000    0.044    0.000  268.689    0.134 /usr/lib/python3.6/http/client.py:1287(getresponse)
     6000    0.043    0.000    1.729    0.000 /usr/lib/python3.6/threading.py:828(start)
   207409    0.043    0.000    0.043    0.000 {method 'lower' of 'str' objects}
     8000    0.043    0.000    0.278    0.000 /usr/lib/python3.6/tempfile.py:299(<listcomp>)
    16000    0.042    0.000    0.073    0.000 /usr/lib/python3.6/email/_policybase.py:293(header_source_parse)
     2001    0.042    0.000    0.042    0.000 /usr/lib/python3.6/socket.py:409(_real_close)
     2000    0.042    0.000    0.051    0.000 /usr/lib/python3.6/multiprocessing/reduction.py:38(__init__)
     8000    0.041    0.000    0.458    0.000 /usr/lib/python3.6/multiprocessing/synchronize.py:115(_make_name)
    12006    0.041    0.000    0.075    0.000 /usr/lib/python3.6/http/client.py:1195(putheader)
     4000    0.041    0.000    1.280    0.000 /usr/lib/python3.6/multiprocessing/context.py:109(SimpleQueue)
     2000    0.040    0.000    0.081    0.000 /usr/lib/python3.6/email/feedparser.py:139(__init__)
    20000    0.040    0.000    0.040    0.000 /usr/lib/python3.6/multiprocessing/process.py:83(<genexpr>)
    30571    0.040    0.000    0.040    0.000 {method '_checkClosed' of '_io._IOBase' objects}
     2300    0.040    0.000    0.040    0.000 /scratch/yyl/noisecorre/transit_basic.py:32(incl)
     2000    0.039    0.000   38.860    0.019 transitsim.py:32(__init__)
    18000    0.038    0.000    0.046    0.000 /usr/lib/python3.6/threading.py:1230(current_thread)
    28156    0.038    0.000    0.038    0.000 {method 'decode' of 'bytes' objects}
    10000    0.037    0.000    0.114    0.000 /usr/lib/python3.6/multiprocessing/process.py:128(is_alive)
     2001    0.037    0.000    0.154    0.000 /usr/lib/python3.6/urllib/parse.py:830(urlencode)
     2000    0.037    0.000    0.067    0.000 /usr/lib/python3.6/queue.py:115(put)
     4000    0.036    0.000    1.221    0.000 /usr/lib/python3.6/multiprocessing/queues.py:313(__init__)
