         7221589 function calls (7220879 primitive calls) in 531.857 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16447    0.012    0.000    0.023    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:670(getdata)
    13251    0.012    0.000    0.012    0.000 {method 'copy' of 'numpy.ndarray' objects}
     5274    0.011    0.000    0.061    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:3064(view)
     1236    0.011    0.000  419.105    0.339 /usr/lib/python3.6/threading.py:263(wait)
    32518    0.011    0.000    0.011    0.000 {built-in method numpy.core.umath.seterrobj}
     1856    0.011    0.000    0.011    0.000 {method 'copy' of 'dict' objects}
      200    0.011    0.000    0.018    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/group.py:42(create_group)
     1236    0.011    0.000    0.217    0.000 /usr/lib/python3.6/multiprocessing/context.py:64(Lock)
     3559    0.011    0.000    1.453    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/fromnumeric.py:50(_wrapfunc)
4199/4197    0.010    0.000    0.039    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
     5497    0.010    0.000    0.010    0.000 {built-in method numpy.core.multiarray.copyto}
     1854    0.010    0.000   20.828    0.011 /usr/lib/python3.6/multiprocessing/util.py:167(__call__)
     4956    0.010    0.000    0.014    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:643(get_masked_subclass)
      309    0.010    0.000    0.455    0.001 /usr/local/lib/python3.6/dist-packages/kplr/api.py:208(<listcomp>)
      309    0.010    0.000    1.490    0.005 transitsim.py:52(check_snr)
     4788    0.010    0.000    0.010    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      400    0.010    0.000    0.013    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/dataset.py:317(__init__)
     1551    0.010    0.000    0.018    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:4195(__imul__)
     8367    0.010    0.000    0.023    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:444(_check_fill_value)
    12035    0.010    0.000    0.043    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:1424(getmaskarray)
      309    0.010    0.000   51.215    0.166 /usr/lib/python3.6/urllib/request.py:1276(do_open)
     1236    0.009    0.000    0.015    0.000 /usr/lib/python3.6/weakref.py:165(__setitem__)
     4338    0.009    0.000    0.009    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      309    0.009    0.000   41.717    0.135 /usr/lib/python3.6/http/client.py:1287(getresponse)
     1860    0.009    0.000    0.286    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:5125(mean)
     4326    0.009    0.000    0.148    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:6565(__call__)
    14548    0.009    0.000    0.053    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:2857(__enter__)
      309    0.009    0.000    0.017    0.000 /usr/lib/python3.6/email/feedparser.py:139(__init__)
     1745    0.009    0.000    0.009    0.000 {method 'uniform' of 'mtrand.RandomState' objects}
     3708    0.008    0.000    0.077    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:2574(wrapped_method)
     1236    0.008    0.000    0.053    0.000 /usr/lib/python3.6/tempfile.py:299(<listcomp>)
      309    0.008    0.000    0.031    0.000 /usr/lib/python3.6/http/client.py:227(__init__)
      309    0.008    0.000    0.252    0.001 /usr/local/lib/python3.6/dist-packages/kplr/api.py:439(<listcomp>)
     1236    0.008    0.000    0.091    0.000 /usr/lib/python3.6/multiprocessing/synchronize.py:115(_make_name)
     2799    0.008    0.000    0.009    0.000 /usr/lib/python3.6/threading.py:1230(current_thread)
    32145    0.008    0.000    0.008    0.000 {method 'lower' of 'str' objects}
     2472    0.008    0.000    0.014    0.000 /usr/lib/python3.6/email/_policybase.py:293(header_source_parse)
    14548    0.008    0.000    0.010    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:2853(__init__)
      309    0.008    0.000    0.036    0.000 /usr/lib/python3.6/multiprocessing/pool.py:368(_map_async)
    16179    0.008    0.000    0.051    0.000 {method 'any' of 'numpy.ndarray' objects}
      349    0.008    0.000    0.170    0.000 /scratch/yyl/noisecorre/transit_basic.py:54(__init__)
     9534    0.008    0.000    0.008    0.000 {built-in method numpy.core.multiarray.zeros}
     1854    0.008    0.000    0.079    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:5484(sort)
     1236    0.008    0.000  419.117    0.339 /usr/lib/python3.6/threading.py:533(wait)
     1236    0.008    0.000    0.024    0.000 /usr/lib/python3.6/threading.py:498(__init__)
      309    0.008    0.000    0.018    0.000 /usr/lib/python3.6/multiprocessing/pool.py:663(__init__)
      309    0.008    0.000    0.010    0.000 /usr/lib/python3.6/multiprocessing/pool.py:619(__init__)
      694    0.008    0.000    4.934    0.007 /usr/lib/python3.6/multiprocessing/process.py:118(join)
    14548    0.008    0.000    0.039    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:2862(__exit__)
     4473    0.007    0.000    0.007    0.000 {method 'decode' of 'bytes' objects}
      309    0.007    0.000    0.011    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/function_base.py:25(linspace)
      309    0.007    0.000    0.009    0.000 /usr/lib/python3.6/multiprocessing/reduction.py:38(__init__)
      309    0.007    0.000    0.007    0.000 /usr/lib/python3.6/socket.py:560(__init__)
      618    0.007    0.000    0.241    0.000 /usr/lib/python3.6/multiprocessing/queues.py:313(__init__)
       30    0.007    0.000    0.026    0.001 /usr/local/lib/python3.6/dist-packages/astropy/logger.py:166(_showwarning)
    65036    0.007    0.000    0.007    0.000 {built-in method numpy.core.umath.geterrobj}
      618    0.007    0.000    0.252    0.000 /usr/lib/python3.6/multiprocessing/context.py:109(SimpleQueue)
    11779    0.007    0.000    0.042    0.000 {method 'sum' of 'numpy.ndarray' objects}
      618    0.007    0.000    0.007    0.000 {method 'sendall' of '_socket.socket' objects}
     1236    0.007    0.000    0.031    0.000 /usr/lib/python3.6/email/message.py:564(get_content_type)
      309    0.007    0.000    0.007    0.000 /usr/lib/python3.6/socket.py:409(_real_close)
    11365    0.007    0.000    0.012    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:1313(_replace_dtype_fields)
      927    0.007    0.000    0.280    0.000 /usr/lib/python3.6/threading.py:828(start)
     1545    0.007    0.000    0.025    0.000 /usr/lib/python3.6/multiprocessing/process.py:128(is_alive)
     1854    0.007    0.000    0.152    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:6685(sort)
     5097    0.007    0.000    0.007    0.000 /usr/lib/python3.6/socket.py:611(readable)
      927    0.007    0.000    0.024    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/fromnumeric.py:37(_wrapit)
     1545    0.007    0.000    0.012    0.000 /usr/lib/python3.6/multiprocessing/popen_fork.py:53(terminate)
      309    0.007    0.000    1.266    0.004 /usr/local/lib/python3.6/dist-packages/astropy/stats/sigma_clipping.py:170(__call__)
     1848    0.006    0.000    0.016    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:884(__call__)
     1236    0.006    0.000    0.023    0.000 /usr/lib/python3.6/multiprocessing/util.py:136(register_after_fork)
      313    0.006    0.000    0.015    0.000 /usr/lib/python3/dist-packages/pandas/core/frame.py:2115(__getitem__)
     3090    0.006    0.000    0.006    0.000 /usr/lib/python3.6/multiprocessing/process.py:83(<genexpr>)
     3399    0.006    0.000    0.007    0.000 /usr/lib/python3.6/email/feedparser.py:78(readline)
      600    0.006    0.000    0.006    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/base.py:119(get_lcpl)
      400    0.006    0.000    0.010    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/group.py:248(__setitem__)
      400    0.006    0.000    0.086    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/group.py:53(create_dataset)
      309    0.006    0.000    0.328    0.001 /usr/local/lib/python3.6/dist-packages/batman/transitmodel.py:215(light_curve)
     4309    0.006    0.000    0.035    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:1557(make_mask)
      309    0.006    0.000    4.853    0.016 transitsim.py:31(__init__)
    17156    0.006    0.000    0.006    0.000 {method 'getrandbits' of '_random.Random' objects}
      610    0.006    0.000    1.811    0.003 /usr/lib/python3.6/http/client.py:534(_get_chunk_left)
      927    0.006    0.000    0.006    0.000 /usr/lib/python3.6/threading.py:727(_newname)
      618    0.006    0.000    0.016    0.000 /usr/lib/python3.6/multiprocessing/connection.py:501(Pipe)
      349    0.005    0.000    0.005    0.000 /scratch/yyl/noisecorre/transit_basic.py:32(incl)
     1554    0.005    0.000    0.005    0.000 {method 'replace' of 'str' objects}
      309    0.005    0.000    0.009    0.000 /usr/lib/python3.6/queue.py:115(put)
     1854    0.005    0.000    0.010    0.000 /usr/lib/python3.6/http/client.py:1195(putheader)
    11731    0.005    0.000    0.025    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:424(asarray)
      309    0.005    0.000  418.924    1.356 /usr/lib/python3.6/multiprocessing/pool.py:261(map)
      309    0.005    0.000   51.242    0.166 /usr/lib/python3.6/urllib/request.py:508(open)
     1551    0.005    0.000    0.005    0.000 {built-in method numpy.core.multiarray.where}
     4788    0.005    0.000    0.011    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      309    0.005    0.000    0.213    0.001 /usr/lib/python3.6/json/__init__.py:302(loads)
     1545    0.005    0.000    0.005    0.000 {built-in method posix.kill}
     7989    0.005    0.000    0.008    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/fromnumeric.py:1613(shape)
     4653    0.005    0.000    0.005    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     9534    0.005    0.000    0.024    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:1646(make_mask_none)
      309    0.005    0.000    0.005    0.000 /usr/local/lib/python3.6/dist-packages/batman/transitmodel.py:371(__init__)
      309    0.005    0.000    0.151    0.000 /usr/lib/python3.6/email/parser.py:42(parse)
     3399    0.005    0.000    0.012    0.000 /usr/lib/python3.6/email/feedparser.py:128(__next__)
      309    0.005    0.000    0.012    0.000 /usr/lib/python3.6/queue.py:27(__init__)
      309    0.005    0.000    0.020    0.000 /usr/lib/python3.6/urllib/parse.py:830(urlencode)
      618    0.005    0.000    9.455    0.015 /usr/lib/python3.6/http/client.py:956(send)
      315    0.005    0.000    0.005    0.000 {built-in method builtins.print}
     1854    0.005    0.000    0.649    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:5277(std)
     2468    0.005    0.000    0.010    0.000 /usr/lib/python3.6/email/_policybase.py:281(_sanitize_header)
      400    0.005    0.000    0.005    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/filters.py:73(generate_dcpl)
    11365    0.005    0.000    0.005    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:1281(_replace_dtype_fields_recursive)
     3835    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
      621    0.005    0.000    0.005    0.000 {method 'readlines' of '_io._IOBase' objects}
      618    0.005    0.000    0.005    0.000 /usr/lib/python3.6/email/message.py:120(__init__)
      614    0.005    0.000   18.065    0.029 /usr/lib/python3.6/http/client.py:596(_safe_read)
      349    0.005    0.000    0.011    0.000 /usr/lib/python3.6/warnings.py:119(filterwarnings)
     1551    0.005    0.000    0.008    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:3306(__setitem__)
      309    0.005    0.000    9.461    0.031 /usr/lib/python3.6/http/client.py:1017(_send_output)
      610    0.005    0.000    1.781    0.003 /usr/lib/python3.6/http/client.py:504(_read_next_chunk_size)
      200    0.005    0.000    0.070    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/files.py:230(__init__)
     1745    0.005    0.000    0.582    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/fromnumeric.py:2960(std)
      309    0.005    0.000    9.441    0.031 /usr/lib/python3.6/http/client.py:933(connect)
      311    0.005    0.000    0.008    0.000 /usr/lib/python3.6/urllib/parse.py:361(urlparse)
